	MFP
PS_20_054_S	D
PS_20_055_S	D
PS_20_058_S	IE/F
PS_20_088_S	F
PS_20_089_S	IE
PS_20_090_S	IE/F
PS_20_106_S	F
PS_20_116_S	IE/F
PS_20_117_S	IE/F
PS_20_118_S	D
PS_20_127_S	D
PS_20_135_S	D
PS_20_140_S	D
PS_20_141_S	D
PS_20_146_S	D
PS_20_168_S	IE/F
PS_20_169_S	D
PS_20_170_S	D
PS_20_185_S	D
PS_20_234_S	D
PS_20_235_S	D
PS_20_248_S	IE
PS_20_256_S	D
PS_20_263_S	D
PS_20_264_S	F
PS_20_275_S	D
PS_20_276_S	D
PS_20_277_S	F
PS_20_279_S	D
PS_20_306_S	D
PS_20_314_S	D
PS_20_326_S	IE
PS_20_335_S	IE
PS_20_336_S	IE
PS_20_337_S	F
PS_20_360_S	D
PS_20_361_S	F
PS_20_390_S	IE
PS_20_392_S	D
PS_20_393_S	D
PS_20_411_S	D
PS_20_413_S	D
PS_20_430_S	D
PS_20_443_S	D
PS_20_462_S	D
PS_20_463_S	F
PS_21_004_S	F
PS_21_005_S	D
PS_21_032_S	IE
PS_21_033_S	D
PS_21_044_S	IE
PS_21_050_S	D
PS_21_051_S	D
PS_694	IE
S_061	D
S_141	F
S_218	F
S1321268	F
S1410914	D
S1411996	D
S1416899	IE
S1417747	D
S1424528	IE
S1430942	D
S1433502	IE/F
S1445246	F
S1449640	D
S1507556	IE
S1508145	D
S1509380	D
S1509537	F
S1510148	D
S1511362	F
S1511548	D
S1513268	IE/F
S1515991	D
S1517327	D
S1517880	IE/F
S1518219	F
S1522624	D
S1523076	D
S1523520	IE/F
S1529812	F
S1531203	D
S1533309	F
S1536379	F
S1536600	IE/F
S1538444	F
S1540152	D
S1540243	IE/F
S1601385	IE/F
S1605302	F
S1607065	F
S1607471	F
S1609768	D
S1609835	IE
S1610000	IE/F
S1611928	IE/F
S1612117	F
S1612305	F
S1618853	D
S1619164	D
S1619302	IE
S1622619	D
S1624432	D
S1625218	IE/F
S1626499	F
S1628151	F
S1628658	D
S1628916	IE/F
S1629730	IE
S1632592	D
S1634384	D
S1634766	IE
S1636709	IE/F
S1642782	IE
S1643235	IE
S1647426	D
S1647561	F
S1701955	F
S1702270	IE/F
S1703013	D
S1703747	F
S1705822	IE/F
S1707787	D
S1708928	D
S1714171	D
S1714518	D
S1715219	F
S1715365	IE
S1717132	IE
S1719482	F
S1720416	IE
S1722782	D
S1723571	IE
S1724096	F
S1725605	D
S1726021	D
S1729428	IE
S1730092	IE
S1730187	F
S1730737	IE
S1731632	IE/F
S1733243	IE/F
S1736894	IE/F
S1738634	F
S1741062	F
S1741167	F
S1745199	IE/F
S1746388	F
S1750999	IE/F
S1751090	IE/F
S1751323	IE/F
S1751781	IE/F
S1802161	D
S1802759	D
S1803586	D
S1808374	F
S1809577	D
S1809977	F
S1810618	D
S1811766	D
S1811932	D
S1812360	IE/F
S1812482	D
S1814644	D
S1814697	D
S1815621	D
S1817037	D
S1817053	D
S1817274	D
S1817280	D
S1817683	D
S1819238	F
S1819384	IE/F
S1821067	F
S1821922	IE/F
S1823853	IE/F
S1831943	IE/F
S1836159	IE/F
S1844783	IE/F
S1850425	D
S1851608	IE
S1852396	IE
S1854131	D
S1902512	D
S1903546	IE/F
S1910136	D
S1912050	D
S1912764	D
S1915891	D
S1916323	D
S1916702	IE/F
S1918033	D
S1918309	D
S1918690	IE
S1918916	F
S1919563	IE
S1920336	D
S1922063	F
S1925274	D
S1926227	IE
S1930269	IE/F
S1931703	D
S1939507	D
S1943675	F
S1944498	D
S2010540	IE/F
S2017223	F
PS_19_304_S	IE
PS_19_305_S	IE
PS_19_306_S	IE
PS_19_066_S	IE/F
PS_19_284_S	D
PS_19_319_S	D
PS_19_318_S	D
PS_19_355_S	F
PS_19_375_S	D
PS_19_386_S	IE/F
PS_19_392_S	F
PS_19_394_S	D
PS_19_395_S	IE
PS_19_421_S	IE/F
PS_20_002_S	D
PS_20_008_S	IE/F
PS_20_009_S	D
